,CUI1,CUI2
405,Anteromedial basal branch of left pulmonary artery,Basal portion of left pulmonary artery
406,Articular branch of dorsal branch of left eighth posterior intercostal artery,Medial branch of dorsal branch of left eighth posterior intercostal artery
407,Articular branch of dorsal branch of left eleventh posterior intercostal artery,Medial branch of dorsal branch of left eleventh posterior intercostal artery
408,Articular branch of dorsal branch of left fifth posterior intercostal artery,Medial branch of dorsal branch of left fifth posterior intercostal artery
409,Articular branch of dorsal branch of left first posterior intercostal artery,Medial branch of dorsal branch of left first posterior intercostal artery
410,Articular branch of dorsal branch of left fourth posterior intercostal artery,Medial branch of dorsal branch of left fourth posterior intercostal artery
411,Articular branch of dorsal branch of left ninth posterior intercostal artery,Medial branch of dorsal branch of left ninth posterior intercostal artery
412,Articular branch of dorsal branch of left second posterior intercostal artery,Medial branch of dorsal branch of left second posterior intercostal artery
413,Articular branch of dorsal branch of left seventh posterior intercostal artery,Medial branch of dorsal branch of left seventh posterior intercostal artery
414,Articular branch of dorsal branch of left sixth posterior intercostal artery,Medial branch of dorsal branch of left sixth posterior intercostal artery
415,Articular branch of dorsal branch of left subcostal artery,Medial branch of dorsal branch of left subcostal artery
416,Articular branch of dorsal branch of left tenth posterior intercostal artery,Medial branch of dorsal branch of left tenth posterior intercostal artery
417,Articular branch of dorsal branch of left third posterior intercostal artery,Medial branch of dorsal branch of left third posterior intercostal artery
418,Articular branch of dorsal branch of posterior intercostal artery,Medial branch of dorsal branch of posterior intercostal artery
419,Articular branch of dorsal branch of right eighth posterior intercostal artery,Medial branch of dorsal branch of right eighth posterior intercostal artery
420,Articular branch of dorsal branch of right eleventh posterior intercostal artery,Medial branch of dorsal branch of right eleventh posterior intercostal artery
421,Articular branch of dorsal branch of right fifth posterior intercostal artery,Medial branch of dorsal branch of right fifth posterior intercostal artery
422,Articular branch of dorsal branch of right first posterior intercostal artery,Medial branch of dorsal branch of right first posterior intercostal artery
423,Articular branch of dorsal branch of right fourth posterior intercostal artery,Medial branch of dorsal branch of right fourth posterior intercostal artery
424,Articular branch of dorsal branch of right ninth posterior intercostal artery,Medial branch of dorsal branch of right ninth posterior intercostal artery
425,Articular branch of dorsal branch of right second posterior intercostal artery,Medial branch of dorsal branch of right second posterior intercostal artery
426,Articular branch of dorsal branch of right seventh posterior intercostal artery,Medial branch of dorsal branch of right seventh posterior intercostal artery
427,Articular branch of dorsal branch of right sixth posterior intercostal artery,Medial branch of dorsal branch of right sixth posterior intercostal artery
428,Articular branch of dorsal branch of right subcostal artery,Medial branch of dorsal branch of right subcostal artery
429,Articular branch of dorsal branch of right tenth posterior intercostal artery,Medial branch of dorsal branch of right tenth posterior intercostal artery
430,Articular branch of dorsal branch of right third posterior intercostal artery,Medial branch of dorsal branch of right third posterior intercostal artery
431,Articular branch of dorsal branch of subcostal artery,Medial branch of dorsal branch of subcostal artery
432,Articular branch of eighth intercostal nerve,Eighth intercostal nerve
433,Articular branch of eleventh intercostal nerve,Eleventh intercostal nerve
434,Articular branch of fifth intercostal nerve,Fifth intercostal nerve
435,Articular branch of fourth intercostal nerve,Fourth intercostal nerve
436,Articular branch of left eighth intercostal nerve,Left eighth intercostal nerve
437,Articular branch of left eleventh intercostal nerve,Left eleventh intercostal nerve
438,Articular branch of left fifth intercostal nerve,Left fifth intercostal nerve
439,Articular branch of left fourth intercostal nerve,Left fourth intercostal nerve
440,Articular branch of left ninth intercostal nerve,Left ninth intercostal nerve
441,Articular branch of left second intercostal nerve,Left second intercostal nerve
442,Articular branch of left seventh intercostal nerve,Left seventh intercostal nerve
443,Articular branch of left sixth intercostal nerve,Left sixth intercostal nerve
444,Articular branch of left tenth intercostal nerve,Left tenth intercostal nerve
445,Articular branch of left third intercostal nerve,Left third intercostal nerve
446,Articular branch of ninth intercostal nerve,Ninth intercostal nerve
447,Articular branch of posterior ramus of eighth thoracic nerve,Posterior ramus of eighth thoracic nerve
448,Articular branch of posterior ramus of eleventh thoracic nerve,Posterior ramus of eleventh thoracic nerve
449,Articular branch of posterior ramus of fifth thoracic nerve,Posterior ramus of fifth thoracic nerve
450,Articular branch of posterior ramus of fourth thoracic nerve,Posterior ramus of fourth thoracic nerve
451,Articular branch of posterior ramus of left eighth thoracic nerve,Posterior ramus of left eighth thoracic nerve
452,Articular branch of posterior ramus of left eleventh thoracic nerve,Posterior ramus of left eleventh thoracic nerve
453,Articular branch of posterior ramus of left fifth thoracic nerve,Posterior ramus of left fifth thoracic nerve
454,Articular branch of posterior ramus of left fourth thoracic nerve,Posterior ramus of left fourth thoracic nerve
455,Articular branch of posterior ramus of left ninth thoracic nerve,Posterior ramus of left ninth thoracic nerve
456,Articular branch of posterior ramus of left second thoracic nerve,Posterior ramus of left second thoracic nerve
457,Articular branch of posterior ramus of left seventh thoracic nerve,Posterior ramus of left seventh thoracic nerve
458,Articular branch of posterior ramus of left sixth thoracic nerve,Posterior ramus of left sixth thoracic nerve
459,Articular branch of posterior ramus of left tenth thoracic nerve,Posterior ramus of left tenth thoracic nerve
460,Articular branch of posterior ramus of left third thoracic nerve,Posterior ramus of left third thoracic nerve
461,Articular branch of posterior ramus of left twelfth thoracic nerve,Posterior ramus of left twelfth thoracic nerve
462,Articular branch of posterior ramus of ninth thoracic nerve,Posterior ramus of ninth thoracic nerve
463,Articular branch of posterior ramus of right eighth thoracic nerve,Posterior ramus of right eighth thoracic nerve
464,Articular branch of posterior ramus of right eleventh thoracic nerve,Posterior ramus of right eleventh thoracic nerve
465,Articular branch of posterior ramus of right fifth thoracic nerve,Posterior ramus of right fifth thoracic nerve
466,Articular branch of posterior ramus of right fourth thoracic nerve,Posterior ramus of right fourth thoracic nerve
467,Articular branch of posterior ramus of right ninth thoracic nerve,Posterior ramus of right ninth thoracic nerve
468,Articular branch of posterior ramus of right second thoracic nerve,Posterior ramus of right second thoracic nerve
469,Articular branch of posterior ramus of right seventh thoracic nerve,Posterior ramus of right seventh thoracic nerve
470,Articular branch of posterior ramus of right sixth thoracic nerve,Posterior ramus of right sixth thoracic nerve
471,Articular branch of posterior ramus of right tenth thoracic nerve,Posterior ramus of right tenth thoracic nerve
472,Articular branch of posterior ramus of right third thoracic nerve,Posterior ramus of right third thoracic nerve
473,Articular branch of posterior ramus of right twelfth thoracic nerve,Posterior ramus of right twelfth thoracic nerve
474,Articular branch of posterior ramus of second thoracic nerve,Posterior ramus of second thoracic nerve
475,Articular branch of posterior ramus of seventh thoracic nerve,Posterior ramus of seventh thoracic nerve
476,Articular branch of posterior ramus of sixth thoracic nerve,Posterior ramus of sixth thoracic nerve
477,Articular branch of posterior ramus of tenth thoracic nerve,Posterior ramus of tenth thoracic nerve
478,Articular branch of posterior ramus of third thoracic nerve,Posterior ramus of third thoracic nerve
479,Articular branch of posterior ramus of thoracic nerve,Posterior ramus of thoracic nerve
480,Articular branch of posterior ramus of twelfth thoracic nerve,Posterior ramus of twelfth thoracic nerve
481,Articular branch of right eighth intercostal nerve,Right eighth intercostal nerve
